tweetid,userid,class,type,form,teasing,author_role,emotion,tweettext
105730486382497793,322329899,y,self-disclosure,other,n,victim,none,"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully."
107688644067856384,185389094,y,self-disclosure,other,n,defender,empathy,【自動post】BULLY（いじめ）とSUICIDE（自殺）で、BULLYCIDE（いじめ自殺）。もっとも、自殺するのは憎い相手を殺した後。死なばもろとも…ってところかしら
108654820042354688,361869056,n,,,,,,"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1"
102206417217392640,226320672,n,,,,,,@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx
102779484725448704,297557032,n,,,,,,cara3: bully iam gara2 uda di ucpin tpi gk bls
108676972149874688,157724561,n,,,,,,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE"
108901271301394432,91457415,n,,,,,,"Pottermore para com essa merda, vc bloqueia logo a parte aonde começa a diversão, esse bullying comigo n chega ao fim né D:"
103911819474771969,197614459,n,,,,,,"If I'm not happy with my classes this week, I'm gonna take the role as a bully and be an asshole. Watch out lower-classmen. It will be ugly."
106590106873372672,62179998,n,,,,,,"@tanjayabella hahahahaha.. Sem 1 gak ad emgnya?wkwk..pgen bully"" lo..wkwk"
109034091743154176,177913822,n,,,,,,"emosi tingkat dewa, parah. puasa2 adaa aja ya yg nge bully-_-"
102533497637437441,70412906,y,report,other,n,reporter,none,Esse @Felipemath  fazendo bullying comigo! Haha
103441158314790912,221102655,y,self-disclosure,other,y,victim,none,@JJS1994_ stop bullying me
101785736088530944,57086793,n,,,,,,AUISHUAHS eu e o @wallace_mancha tiramos o dia pra praticar bullying com a @helove_
103666331349565440,342437494,n,,,,,,"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown."
103679008855691264,11363462,n,,,,,,"@lucy_robbo yes on thur, she said she might, we'll bully in revs. I dunno I have no friends hahaha"
103970723084771328,175268451,n,,,,,,"coitado o #Afonso sofreu #Bullying no colégio hoje, mais tava mt massa né @larissahadassa  UHAUSHAUHSUAH"
104135742401425408,146960481,n,,,,,,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u,well DONT let it get u down"
105202476927549441,293593896,n,,,,,,@TrickyStewart Hey!(: We Are Beliebers!(: Can YouTell BIEBER To Tweet Us!(: My Friend Has Been Bullied And Needs Cheered Up!XD
107278521805713408,150964152,n,,,,,,don't you get it? This is me getting rid of you. Hahaha #BULLY
107478741424414720,360086723,n,,,,,,Lucuuuu.. BeaTweet @Salvminerva: Kartun yg di MNC TV apa dah... Kocak amat kadal gurun di bully ama musang... :))
